apache/cayenne,org.apache.cayenne.CayenneContextClientChannelEventsIT.testSyncToOneRelationship,apache/cayenne,org.apache.cayenne.CayenneContextClientChannelEventsIT.testSyncToOneRelationship,doublevictim,294.586,2025,2025,2963,2963,null
jenkinsci/remoting,hudson.remoting.RemoteInvocationHandlerTest.testExportSecondary,doublevictim,AfterOneFail,6371.303,99,99,1814,1807,22
jenkinsci/remoting,hudson.remoting.ChannelTest.testDiagnostics,doublevictim,AfterOneFail,2001.654,86,86,1761,1754,20
jenkinsci/remoting,hudson.remoting.ClassFilterTest.transport_nio,doublevictim,AfterOneFail,1934.165,97,97,1772,1765,20
jenkinsci/remoting,hudson.remoting.ChannelTest.testWaitForRemoteProperty,doublevictim,AfterOneFail,1942.211,99,99,1761,1754,21
jenkinsci/remoting,hudson.remoting.NonSerializableExceptionTest.test1,doublevictim,AfterOneFail,647.599,99,99,1761,1754,21
jenkinsci/remoting,org.jenkinsci.remoting.protocol.ProtocolStackImplTest.pipeChannelFullProtocolBIO,doublevictim,AfterOneFail,6548.792,1262,1262,1806,1799,37
jenkinsci/remoting,org.jenkinsci.remoting.protocol.ProtocolStackImplTest.socketChannelFullProtocolBIO,doublevictim,AfterOneFail,3650.287,1262,1262,1806,1799,37
jenkinsci/remoting,hudson.remoting.RemoteInvocationHandlerTest.testAsyncCall,doublevictim,AfterOneFail,6030.474,99,99,1814,1807,22
jenkinsci/remoting,hudson.remoting.DiagnosedStreamCorruptionExceptionTest.exercise,doublevictim,AfterOneFail,4505.133,68,68,1837,1830,13
jenkinsci/remoting,org.jenkinsci.remoting.protocol.IOHubTest.noReadyCallbackIfInterestRemoved,wrongjsonfail2,null,null,null,null,null
CloudSlang/cloud-slang,io.cloudslang.lang.runtime.steps.ExecutableStepsTest.testBoundInputEvent,passorder,AfterOneFail,2152.384,2350,2350,2350,2350,92
jnr/jnr-posix,jnr.posix.SpawnTest.closeInput,wrongjsonfail,null,null,null,null,null
jnr/jnr-posix,jnr.posix.GroupTest.getgroups,doublevictim,AfterOneFail,156.473,1429,1429,2230,2230,32
jnr/jnr-posix,jnr.posix.SpawnTest.inputPipe,doublevictim,AfterOneFail,152.139,1446,1446,2094,2094,33
jnr/jnr-posix,jnr.posix.NlLanginfoTest.testNlLanginfo,doublevictim,AfterOneFail,162.812,1539,1539,2234,2234,38
jnr/jnr-posix,jnr.posix.SpawnTest.validPid,wrongjsonfail,null,null,null,null,null
jnr/jnr-posix,jnr.posix.SpawnTest.outputPipe,doublevictim,AfterOneFail,153.485,1446,1446,2094,2094,33
winder/Universal-G-Code-Sender,com.willwinder.ugs.nbp.S3FileSystemViewTest.testGetFiles,doublevictim,136.942,1030,1030,1114,1114,null
winder/Universal-G-Code-Sender,com.willwinder.universalgcodesender.GrblControllerTest.rawResponseHandlerWithKnownErrorShouldWriteMessageToConsole,doublevictim,AfterOneSuccess,537.943,979,979,2053,2053,30
winder/Universal-G-Code-Sender,com.willwinder.universalgcodesender.GrblControllerTest.rawResponseHandlerWithUnknownErrorShouldWriteGenericMessageToConsole,doublevictim,AfterOneSuccess,536.748,979,979,2056,2056,30
winder/Universal-G-Code-Sender,com.willwinder.universalgcodesender.GrblControllerTest.testGetGrblVersion,doublevictim,AfterOneSuccess,731.94,378,378,2710,2710,20
winder/Universal-G-Code-Sender,com.willwinder.universalgcodesender.GrblControllerTest.rawResponseHandlerOnErrorWithNoSentCommandsShouldSendMessageToConsole,doublevictim,AfterOneSuccess,496.495,972,972,2056,2056,26
winder/Universal-G-Code-Sender,com.willwinder.universalgcodesender.GrblControllerTest.testIsReadyToStreamFile,doublevictim,AfterOneSuccess,494.872,378,378,2056,2056,20
